																																																																																																
	Tissue  	Density (kg/m3)					Heat Capacity (J/kg/°C)					Thermal Conductivity (W/m/°C)					Heat Transfer Rate (ml/min/kg)					Heat Generation Rate (W/kg)					Dielectric Properties														Semcad		LF Conductivity 					Anisotropic LF Conductivity across					Anisotropic LF Conductivity along					Anisotropic LF Conductivity normal to surface					Magnetic Parameters	Magnetic Permittivity	Tissue Speed of Sound [m/s]					Tissue Dependent Parameter of the Non Linearity Prameter B/A					Attenuation Constant		1.5T- T1 [ms]					1.5T- T2 [ms]					3.0T- T1 [ms]					3.0T- T2 [ms]				
	Name	Average	Standard Deviation	Sample Size	Minimum	Maximum	Average	Standard Deviation	Number of Studies	Minimum	Maximum	Average	Standard Deviation	Number of Studies	Minimum	Maximum	Average	Standard Deviation	Number of Studies	Minimum	Maximum	Average	Standard Deviation	Number of Studies	Minimum	Maximum	ef	del1	tau1 (ps)	alf1	del2	tau2 (ns)	alf2	sig	del3	tau3 (µs)	alf3	del4	tau4 (ms)	alf4	Alternative Names	source	av	sd	n	min 	max	av	sd	n	min 	max	av	sd	n	min 	max	av	sd	n	min 	max	Magnetic Conductivity [S/m]	Relative Permeability	av	sd	n	min 	max	av	sd	n	min 	max	?0 [Np/m/MHz]	b	av	sd	n	min 	max	av	sd	n	min 	max	av	sd	n	min 	max	av	sd	n	min 	max
	Fat (Average Infiltrated)	911	51.42007205	23	812	961	2348.333333	371.7777114	6	1806	2973	0.21145	0.021131358	8	0.18	0.2416	32.70933333	12.85635337	12	19.832	63.248	0.506565952	0.019910497	12	0.307136066	0.979515021	2.5	9	7.958	0.2	35	15.915	0.1	0.035	33000	159.155	0.05	10000000	15.915	0.01	Fat(AverageInfiltrated)	Fat (Average Infiltrated)	0.077621273	0.093082005	91	0.023986634	0.215217391																0	1	1440.1875	21.91869446	16	1412	1490	10.0712	0.582635354	10	9.26	11.15	4.3578	1.0861			0					0					0					0		
	Fat (Not Infiltrated)	911	51.42007205	23	812	961	2348.333333	371.7777114	6	1806	2973	0.21145	0.021131358	8	0.18	0.2416	0	0	1	0	0	0	0	1	0	0	2.5	3	7.958	0.2	15	15.915	0.1	0.01	33000	159.155	0.05	10000000	7.958	0.01	Fat(NotInfiltrated)	Fat (Not Infiltrated)	0.077621273	0.093082005	91	0.023986634	0.215217391																0	1	1440.1875	21.91869446	16	1412	1490	10.0712	0.582635354	10	9.26	11.15	4.3578	1.0861			0					0					0					0		
	Gallbladder	1070.5	58.46722729	7	1026	1115	3716	0	1	3716	3716	0.521	0	1	0.521	0.521	30	0	1	30	30	0.464606796	0	1	0.464606796	0.464606796	4	55	7.579	0.05	40	1.592	0	0.9	1000	159.155	0.2	10000	15.915	0	Gallbladder_wall@gallbladder_wall	Gallbladder	0.314670639	0.123858102	54	0.188679245	0.406862745																0	1	1583.6	0	1	1583.6	1583.6	6.22	0	1	6.22	6.22	1.51	1			0					0					0					0		
	Heart Lumen	1049.75	19.17463602	584	1025	1060	3617	301.4415366	3	3300	3900	0.516857143	0.02545865	7	0.488	0.561	10000	0	1	10000	10000	0	0	1	0	0	4	56	8.377	0.1	5200	132.629	0.1	0.7	0	159.155	0.2	0	15.915	0	Atrium(Lumen)@Heart_lumen@Atrium (Lumen)@Heart (Lumen)	Blood	0.662459736	0.107254247	33	0.433087917	0.945572828																0	1	1578.183333	11.27297654	9	1559.2	1590	6.1125	0.131497782	4	6	6.3	2.3676	1.0498	1414.806452	103.5999258	6	1200	1547.5	171.5934211	67.25615432	6	108.95	327	1953.571429	188.4392359	8	1355	2085.5	275	0	1	275	275
	Heart Muscle	1080.8	37.81502599	25	1059	1143	3686	62.38589584	3	3614	3724	0.557571429	0.036882051	7	0.497	0.6	1026.074074	306.9398287	24	609.0909091	1718.518519	39.45244527	1.180180564	24	23.41948438	66.07686473	4	50	7.958	0.1	1200	159.155	0.05	0.05	450000	72.343	0.22	25000000	4.547	0	Fetus_heart@Heart@Atrium@Baby_Heart_muscle@Heart_muscle@Heart (Muscle)	Heart Muscle	0.385354162	0.153984276	55	0.103626943	0.775193798	0.205972268	0.040574914	54	0.177	0.264550265	0.392796733	0.080647803	54	0.319488818	0.471698113						0	1	1561.285714	15.46732347	7	1529	1572	6.756	0.54628747	5	5.8	7.1	3.917	1.2598	1026.25	4.330127019	2	1022.5	1030	42	2.039607805	2	40	44	1355.166667	83.76257526	3	1279.5	1471	47	0	1	47	47
	Hippocampus	1044.5	7.778174593	9	1039	1050	3695.8	34.4267338	5	3664	3753	0.547	0.025455844	2	0.529	0.565	763.6666667	85.6757453	3	671	840	15.53913279	0.174333494	3	13.65354618	17.0923678	4	45	7.958	0.1	400	15.915	0.15	0.02	200000	106.103	0.22	45000000	5.305	0	"Hippoampus, right@Hippocampus, left@Hippocampus"	Brain (Grey Matter)	0.419054882	0.230445828	214	0.06	0.83																0	1	1500		-1	1500	1500			0			1.2	1.21	1260.822581	178.4043137	8	1096.5	1531	109.4	52.9465342	4	77.9	217	1697	0	1	1697	1697	94	0	1	94	94
	Hypophysis	1053	18.38477631	2	1040	1066	3687	0	1	3687	3687	0.514	0	1	0.514	0.514	885	304.0559159	2	670	1100	13.70590049	0.47088815	2	10.37621845	17.03558252	4	55	7.958	0.1	2500	159.155	0.1	0.5	100000	159.155	0.2	40000000	15.915	0	Hypophysis_Pituary_Gland@PituitaryGland@Hypophysis (Pituitary Gland)@Glands (Head)@Hypophysis@Hypophysis or Pituitary Gland @	Thyroid gland	1.051624	0.099789139	20	1.051624	1.051624																0	1	1500		-1	1500	1500			0			15.492	1			0					0					0					0		
	Hypothalamus	1044.5	7.778174593	9	1039	1050	3695.8	34.4267338	5	3664	3753	0.547	0.025455844	2	0.529	0.565	763.6666667	85.6757453	3	671	840	15.53913279	0.174333494	3	13.65354618	17.0923678	4	45	7.958	0.1	400	15.915	0.15	0.02	200000	106.103	0.22	45000000	5.305	0	"Hypothalamus, right@Hypothalamus, left@Hypothalamus"	Brain (Grey Matter)	0.419054882	0.230445828	214	0.06	0.83																0	1	1500		-1	1500	1500			0			1.2	1.21	1260.822581	178.4043137	8	1096.5	1531	109.4	52.9465342	4	77.9	217	1433.193548	186.021578	5	1275	1763	92.60196078	16.94478374	5	66	110
	Intervertebral Disc	1099.5	13.40397951	7	1099	1100	3568	78.06407625	4	3500	3664	0.487	0.026888659	3	0.47	0.518	35	0	1	35	35	0.542041262	0	1	0.542041262	0.542041262	3	58.36	10.78	0.72	0	144.686	0.15	0.83	0	318.31	0.1	0	15.915	0	Intervertebral_disc@Intervertebral Disc (Head)@Intervertebral Disc (Tail)@Intervertebral Discs	Intervertebral Disc	0.739259558	0.268724464	42	0.600084	1.433653434																0	1	1639.6	11.62196197	3	1627	1649.9			0			0.4397	1	1045.5	15.28434202	2	1031	1060	75.54347826	8.645693941	2	59.5	80	1201	41.10960958	2	1162	1240			0		
	Kidney	1066.25	60.94095503	15	1019	1147	3763	120.0166655	3	3653	3891	0.5346	0.020803846	5	0.506	0.556	3795.026088	544.4528328	88	2606.837607	5571	18.05175743	0.25897926	88	12.3999148	26.49951234	4	47	7.958	0.1	3500	198.944	0.22	0.05	250000	79.577	0.22	30000000	4.547	0	Fetus_kidney@Kidneys@Kidney@Kidney_total@Kindeys@Kidney_left@Kidney_right	Kidney	0.341518082	0.226348352	9	0.142116238	0.900900901																0	1	1554.285714	18.18391492	7	1513.5	1565	7.436	0.909659277	5	6.6	8.98	2.8067	1.022			0					0					0					0		
	Kidney (Cortex)	1049	0	1	1049	1049	3587	52.32590181	2	3550	3624	0.527666667	0.02532456	3	0.499	0.547	3874.285714	913.8719302	7	2750	5060	18.42877079	0.434700422	7	13.08089372	24.06884445	4	47	7.958	0.1	3500	198.944	0.22	0.05	250000	79.577	0.22	30000000	4.547	0	Baby_Kidney_cortex@Kidney_cortex@Kidneys (Cortex)	Kidney	0.341518082	0.226348352	9	0.142116238	0.900900901																0	1	1571.333333	5.859465277	3	1567	1578	7.436	0.909659277	5	6.6	8.98	12	1	828	147.5282055	2	690	966	71	17.10471948	2	55	87	1168	27.15611433	2	1142	1194	66	10.44465936	2	56	76
	Kidney (Medulla)	1044	0	1	1044	1044	3745	0	1	3745	3745	0.54	0	1	0.54	0.54	598.75	191.066088	4	350	770	2.848067315	0.090884189	4	1.664841019	3.662650243	4	47	7.958	0.1	3500	198.944	0.22	0.05	250000	79.577	0.22	30000000	4.547	0	Kidney_medulla@Kidneys (Medulla)	Kidney	0.341518082	0.226348352	9	0.142116238	0.900900901																0	1	1564	0	1	1564	1564	7.436	0.909659277	5	6.6	8.98	2.8067	1.022	1412	0	1	1412	1412	85	0	1	85	85	1545	0	1	1545	1545	81	0	1	81	81
	Large Intestine	1088	55.82240254	7	1044	1132	3654.5	64.34671709	2	3609	3700	0.542	0.030724583	4	0.496	0.56	765.2315476	231.5342889	20	335	1236	11.85105925	0.358574681	20	5.188109223	19.1418	4	50	7.958	0.1	3000	159.155	0.2	0.01	100000	159.155	0.2	40000000	1.592	0	"Rectum@lower_LI@upper_LI@Anus@LargeIntestine@Large_intestine@Caecum@Colon@Fossa ischioanalis@Ischiorectal Fosse@Intestine, Large@Large_intestine_wall@"	Large Intestine	0.163535918	0.053622755	1	0.163535918	0.163535918																0	1	1500		-1	1500	1500			0			5.7429	1			0					0					0					0		
	Large Intestine Lumen	1045.2	0	2	1000	1090.4	3801.1	0	2	3421.2	4181	0.557484375	0	2	0.49496875	0.62	0	0	1	0	0	0	0	1	0	0	4	50	7.234	0.1	7000	353.678	0.1	0.2	1200000	318.31	0.1	25000000	2.274	0	LargeIntestine_Contents@Large_intestine_lumen@Caecum (Lumen)@Colon (Lumen)@Rectum (Lumen)	Muscles	0.461007526	0.243781754	24	0.1	0.726																0	1	1535.365278	0	1	1482.3	1588.430556	6.063	1.048568866	6	6.063	6.063	0.4243	1.0414			0					0					0					0		
	Larynx	1099.5	13.40397951	7	1099	1100	3568	78.06407625	4	3500	3664	0.487	0.026888659	3	0.47	0.518	35	0	1	35	35	0.542041262	0	1	0.542041262	0.542041262	4	38	13.263	0.15	2500	144.686	0.15	0.15	100000	318.31	0.1	40000000	15.915	0	None@Larynx	Cartilage	0.739259558	0.268724464	42	0.600084	1.433653434																0	1	1639.6	11.62196197	3	1627	1649.9			0			0.4397	1	1045.5	15.28434202	2	1031	1060	37.3375	3.271121974	3	34.225	42.1	1201	41.10960958	2	1162	1240	44.025	8.559397773	3	35	52.41666667
	Liver	1078.75	55.77604026	16	1050	1158	3540.2	118.6937235	5	3332	3617	0.519111111	0.029394704	9	0.483	0.566	860.456666	169.6033737	50	422	1273	9.930839189	0.19574534	50	4.87045345	14.69214986	4	39	8.842	0.1	6000	530.516	0.2	0.02	50000	22.736	0.2	30000000	15.915	0.05	Fetus_liver@Baby_Liver@Liver	Liver	0.185038353	0.098982372	91	0.063652475	0.43																0	1	1585.725	19.46094736	10	1541.5	1611	7.281538462	0.634072106	13	6.54	8.72	6.915	1	661.5205479	47.62056617	6	576	720	56.82758621	8.921217552	5	46	72	810.5	1.566698904	2	809	812	38	4.177863743	2	34	42
	Lung	394	158.7719473	26	255	604	3886	0	1	3886	3886	0.3874	0.090237465	5	0.28	0.478	400.9308511	358.2465712	8	71.27659574	1083.404255	6.209173273	0.554812639	8	1.103853026	16.778566	2.5	18	7.958	0.1	500	63.662	0.1	0.03	250000	159.155	0.2	40000000	7.958	0	Lungs@Lung@Lung_left@Lung_right	Lung(Inflated)	0.101412868	0.039654596	13	0.058055152	0.249376559																0	1	949.2857143	11.62196197	3	1627	1649.9			0			230.94	1			0			6.3	0	1	6.3	6.3			0					0		
	Lung (Deflated)	1050	2.75	2	1050	1050	3886	0	1	3886	3886	0.3874	0.090237465	5	0.28	0.478	400.9308511	358.2465712	8	71.27659574	1083.404255	6.209173273	0.554812639	8	1.103853026	16.778566	4	45	7.958	0.1	1000	159.155	0.1	0.2	500000	159.155	0.2	10000000	15.915	0	Fetus_lung@Baby_Lung@Lung(Deflated)	Lung (Deflated)	0.111089859	0.047213353	118	0.041841004	0.201538462																0	1	1500		-1	1500	1500			0			161.88	1			0					0					0					0		
	Lung (Inflated)	394	158.7719473	26	255	604	3886	0	1	3886	3886	0.3874	0.090237465	5	0.28	0.478	400.9308511	358.2465712	8	71.27659574	1083.404255	6.209173273	0.554812639	8	1.103853026	16.778566	2.5	18	7.958	0.1	500	63.662	0.1	0.03	250000	159.155	0.2	40000000	7.958	0	Lung(Inflated)	Lung (Inflated)	0.058283069		120	0.041538462	0.07																0	1	949.2857143	1010.333333	1083.6	1190	1282.666667			0			230.94	1			0					0					0					0		
	Lymph	1019	0	1	1019	1019			0					0			0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	None																					0	1	1500		-1	1500	1500			0			0	0			0					0					0					0		
	Lymphnode	1035	9.128709292	2	1030	1040	3738.5	313.2483041	2	3517	3960	0.46	0	1	0.46	0.46	461.4666667	35.96071931	3	428.8	500	7.146684984	0.055691982	3	6.640779806	7.743446602	3	51.1	7.21	0.14	91	2.3	0	0.59	0	159.155	0.2	0	15.915	0	Nodus_lymphaticus@Nodus_Lymphaticus@Tonsils@Lymphes@Lymph_node@lymph_node@Lymphoid_tissue	Mesenchymal Lymph Node	0.220522377	0.164255956	9	0.107135429	0.48																0	1	1586	0	1	1586	1586	8.21	0	1	8.21	8.21	28.782	1			0					0					0					0		
	Mandible	1908	166.0051634	27	1800	2100	1312.833333	294.7028447	6	826	1650	0.32	0.034641016	3	0.3	0.36	10	0	1	10	10	0.154868932	0	1	0.154868932	0.154868932	2.5	10	13.263	0.2	180	79.577	0.2	0.02	5000	159.155	0.2	100000	15.915	0	None@Mandible	Bone (Cortical)	0.006301997	0.003380654	6	0.001851852	0.0091																0	1	3514.857143	420.3441787	21	2660	4200			0			54.553	1			0					0					0					0		
	Medulla Oblongata	1045.5	6.363961031	9	1041	1050	3630	73.53910524	2	3578	3682	0.51325	0.02248518	4	0.489	0.537	558.6063123	98.81836782	43	411.5714286	976.2857143	11.36655303	0.201076177	43	8.374678849	19.86551727	4	40	7.958	0.1	700	15.915	0.15	0.04	200000	106.103	0.22	45000000	5.305	0	Medulla_oblongata@Medulla_oblangata@medulla_oblangata@@Brainstem Medulla	Cerebellum	0.357	0.01	1	0.357	0.357																0	1	1546.323529	20.16877318	17	1506	1565	6.716666667	0.288675135	3	6.55	7.05	11.529	1	790	0	1	790	790			0			1146	0	1	1146	1146	68	0	1	68	68
	Meniscus	1099.5	13.40397951	7	1099	1100	3568	78.06407625	4	3500	3664	0.487	0.026888659	3	0.47	0.518	35	0	1	35	35	0	0	1	0	0	4	38	13.263	0.15	2500	144.686	0.15	0.15	100000	318.31	0.1	40000000	15.915	0	None@Meniscus_right@Meniscus_left@meniscus_right@meniscus_left	Cartilage	0.739259558	0.268724464	42	0.600084	1.433653434																0	1	1639.6	11.62196197	3	1627	1649.9			0			0.4397	1	1045.5	15.28434202	2	1031	1060	37.3375	3.271121974	3	34.225	42.1	1201	41.10960958	2	1162	1240	44.025	8.559397773	3	35	52.41666667
	Midbrain	1045.5	6.363961031	9	1041	1050	3630	73.53910524	2	3578	3682	0.51325	0.02248518	4	0.489	0.537	558.6063123	98.81836782	43	411.5714286	976.2857143	11.36655303	0.201076177	43	8.374678849	19.86551727	4	40	7.958	0.1	700	15.915	0.15	0.04	200000	106.103	0.22	45000000	5.305	0	None@Midbrain@Brainstem - Midbrain@Brainstem Midbrain	Cerebellum	0.35	0.01	1	0.35	0.35																0	1	1546.323529	20.16877318	17	1506	1565	6.716666667	0.288675135	3	6.55	7.05	6.8032	1.3			0					0			1353	0	0	1353	1353	63	0	1	63	63
	Mucous Membrane	1102	0	1	1102	1102	3150	0	1	3150	3150	0.343	0	1	0.343	0.343	593.6666667	497.0717587	3	270	1166	9.194052265	0.769809724	3	4.181461165	18.05771748	4	50	7.234	0.1	7000	353.678	0.1	0.2	1200000	318.31	0.1	25000000	2.274	0	mucosa@Mucosa@Frontal Sinus (Mucosa)@Nasal Cavity (Mucosa)@Mucous Membrane (Head)@Uterus_mucosa@Mucosa_nasal_cavity	Muscles	0.461007526	0.243781754	24	0.1	0.726																0	1	1620.68	27.78510392	5	1602	1669			0			7.1088	1.0827			0					0					0					0		
	Muscle	1090.4	55.14127697	14	1041	1178	3421.2	460.1594289	5	2624	3799	0.49496875	0.042114308	8	0.4225	0.56	36.7382931	13.09694849	58	18.53666667	94.24666667	0.906124701	0.032302722	58	0.457194119	2.324529135	4	50	7.234	0.1	7000	353.678	0.1	0.2	1200000	318.31	0.1	25000000	2.274	0	Fetus_muscle@Baby_Muscle@Muscles@Muscular Tunic@Muscles (Head)@Muscles (Tail)@Oviduct@Muscle - (General)@Muscle (General)@Muscle General@Muscle - Temporalis/Temporoparietalis@Muscle - Temporalis_Temporoparietalis@Muscle - Occipitiofrontalis - Frontal Belly@Muscle - Lateral Pterygoid@Muscle - Masseter@Muscle - Splenius Capitis@Muscle - Sternocleidomastoid @Muscle - Occipitiofrontalis - Occipital Belly@Muscle - Trapezius@Muscle - Mentalis@Muscle - Depressor Anguli Oris@Muscle - Depressor Labii@Muscle - Nasalis@Muscle - Orbicularis Oris@Muscles - Procerus@Muscle - Levator Labii Superioris@Muscle - Zygomaticus Major @Muscle - Orbicularis Oculi@Muscle - Levator Scapulae@Muscle - Medial Pterygoid@Muscle - Zygomaticus Minor@Muscles - Risorius@Muscle - Buccinator@Muscle - Superior Rectus@Muscle - Medial Rectus@Muscle - Lateral Rectus@Muscle - Inferior Rectus@Muscle - Superior Oblique@Muscle - Inferior Oblique@Muscle - Platysma@Eye_muscles_extraocular@Oviduct_left@Oviduct_right@Muscle_ocular@Eye_muscle@Muscle_periocular	Muscles	0.461007526	0.243781754	24	0.1	0.726	0.13188759	0.095260419	55	0.043478261	0.293400666	0.415109444	0.261076443	55	0.138810944	5.37						0	1	1588.430556	21.56469408	24	1545	1631	7.166	0.600441504	5	6.5	7.8	7.1088	1.0827	981.4705882	126.8551672	4	781.5	1130	36.03571429	7.051634523	3	27	44	1232.941176	255.0050173	3	898	1420	37.20588235	9.803473274	3	29	50
	Nerve	1075	61.21546646	6	1038	1112	3613	72.12489168	2	3562	3664	0.49	0	1	0.49	0.49	160.3333333	29.53528963	3	130	189	2.48306521	0.045740988	3	2.013296117	2.927022816	4	26	7.958	0.1	500	106.103	0.15	0.006	70000	15.915	0.2	40000000	15.915	0	Nerves@Greater Nerves@Lesser Nerves@Spinal Nerves@Nerves (Head)@Cranial Nerve I - Olfactory@Cranial Nerve II - Optic@Cranial Nerve III - Oculomotor@Cranial Nerve IV - Trochlear@Cranial Nerve V - Trigeminal@Cranial Nerve V2 - Maxillary Division@Cranial Nerve V3 - Mandibular Division@Cranial Nerve VI - Abducens@Cranial Nerve VII - Facial@Cranial Nerve VIII - Vestibulocochlear@Cranial Nerve IX - Glossopharyngeal@Cranial Nerve X - Vagus@Cranial Nerve XI - Accessory @Cranial Nerve XII - Hypoglossal @Optic Tract@Optic Chiasm@Optic_nerve_left@Optic_nerve_right@Nerve_cranial_II_optic@Cranial_Nerves_(Large_Branches_5_8_9)@Cranial_nerves@Optic_nerves	Nerve	0.347954393	0.194357593	194	0.06435	0.85244	0.219729786	0.102051612	29	0.117647	0.276	0.733291167	0.457712821	27	0.4	1.282051						0	1	1629.5	20.50609665	2	1615	1644			0			13.235	1	708.9565217	79.18647627	3	652	815	77	0	1	77	77	1083	0	1	1083	1083	78	0	1	78	78
	Ovary	1048	1.4	2	1048	1048	3778	0	1	3778	3778	0.515	0	1	0.515	0.515	236	0	1	236	236	3.654906796	0	1	3.654906796	3.654906796	4	40	8.842	0.15	400	15.915	0.25	0.3	100000	159.155	0.27	40000000	15.915	0	fallopian_ovaries@Baby_Ovary@Ovary_left@Ovary_right	Ovary	0.366066667	0.006610261	1	0.366066667	0.366066667																0	1	1595	0	1	1595	1595			0			7.8325	1			0					0					0					0		
	Pancreas	1086.5	51.58892	7	1045	1128	3164	483.6610383	2	2822	3506	0.5119	0.051990865	5	0.466	0.588	767.4615385	357.3759961	13	469	1640	11.88559488	0.553464388	13	7.263352913	25.39850485	4	55	7.958	0.1	2500	159.155	0.1	0.5	100000	159.155	0.2	40000000	15.915	0	Baby_Pancreas	Thyroid gland	0.144935065	0.015064935	1	0.12987013	0.16																0	1	1591	0	1	1591	1591			0			9.5502	1	584	0	1	584	584	46	0	1	46	46	725	0	1	725	725	43	0	1	43	43
	Penis	1101.5	53.28128971	22	1056	1147	3306	158.1486642	3	3171	3480	0.462	0.016370706	3	0.444	0.476	12	4.582575695	3	7	16	0.185842718	0.007096986	3	0.108408252	0.247790291	4	40	8.842	0.1	50	3.183	0.1	0.25	100000	159.155	0.2	10000000	1.592	0	CavernousBody@Corpora Cavernosa@Corpus Spongiosum	Blood Vessel Wall	0.231971605	0.013599884	1	0.231971605	0.231971605																0	1	1569.142857	5.756983337	7	1559	1575			0			7.02	1			0			36.4	0	1	36.4	36.4	968.3333333	186.5	2	844	1217	43.16666667	6.25	2	39	51.5
	Pharynx	1.164091553	0.050782213	2	1.128183106	1.2	1003.666667	3.214550254	3	1000	1006	0.027381779	0.001782217	4	0.026	0.03	0	0	2	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Cavitas infraglottica@Throat@Epipharynx@Oral Cavity (Air)@Pharynx (Head)	Air	0		1	0	0																0	1	343	0	1	343	343			0			0.039143947	2			0					0					0					0		
	Pineal Body	1053	18.38477631	2	1040	1066	3687	0	1	3687	3687	0.514	0	1	0.514	0.514	885	304.0559159	2	670	1100	13.70590049	0.47088815	2	10.37621845	17.03558252	4	55	7.958	0.1	2500	159.155	0.1	0.5	100000	159.155	0.2	40000000	15.915	0	Pinealbody@PinealGland@Pineal_body@pineal_body	Thyroid gland	0.4811	0	1	0.4811	0.4811																0	1	1500		-1	1500	1500			0			15.492	1			0					0					0					0		
	Placenta	1018.126075	26.70603202	3	995	1041.252151	3806.5	47.37615434	2	3773	3840	0.515	0.021213203	2	0.5	0.53	1700	423.2020794	3	1250	2090	26.32771845	0.655408541	3	19.3586165	32.3676068	4	56	8.377	0.1	5200	132.629	0.1	0.7	0	159.155	0.2	0	15.915	0	Fetus_placenta@Placenta	Blood	0.662459736	0.107254247	33	0.433087917	0.945572828																0	1	1500		-1	1500	1500			0			8.4472	1.325	1414.806452	103.5999258	6	1200	1547.5	171.5934211	67.25615432	6	108.95	327	1953.571429	188.4392359	8	1355	2085.5	275	0	1	275	275
	Pons	1045.5	6.363961031	9	1041	1050	3630	73.53910524	2	3578	3682	0.51325	0.02248518	4	0.489	0.537	558.6063123	98.81836782	43	411.5714286	976.2857143	11.36655303	0.201076177	43	8.374678849	19.86551727	4	40	7.958	0.1	700	15.915	0.15	0.04	200000	106.103	0.22	45000000	5.305	0	None@Pons@pons@Brainstem - Pons@Brainstem Pons	Cerebellum	0.558392	0.241834308	21	0.369	0.747784																0	1	1546.323529	20.16877318	17	1506	1565	6.716666667	0.288675135	3	6.55	7.05	6.8032	1.3	785	0	1	785	785			0			1353	0	1	1353	1353	63	0	1	63	63
	Prostate	1045	0	1	1045	1045	3760	28.28427125	2	3740	3780	0.5115	0.026162951	2	0.493	0.53	394.12	0	1	394.12	394.12	6.10369435	0	1	6.10369435	6.10369435	4	55	7.958	0.1	5000	159.155	0.1	0.4	100000	159.155	0.2	40000000	15.915	0	"Glands, Clitoris"	Testis	0.558599722	0.291028133	6	0.435631853	0.743																0	1	1559.5	2.121320344	2	1558	1561			0			9.3191	1	1317	0	1	1317	1317	88	0	1	88	88	1597	0	1	1597	1597	74	0	1	74	74
	Salivary Gland	1048	3.575	2	1048	1048	3760	28.28427125	2	3740	3780	0.5115	0.026162951	2	0.493	0.53	383.0392157	9.594203003	3	377.5	394.1176471	5.932087426	0.01485844	3	5.846302184	6.10365791	3	51.8	7.58	0.15	82	2.26	0	0.67	0	159.155	0.2	0	15.915	0	"Parotid_gland@SalivaryGland@Submandibular Gland@Parotid Gland@Submandibular_gland@Salivary_gland@salivary_gland@Gland_Whisker@Gland_whisker@gland_whisker@Gland, Whisker@gland, whisker@Salivary Gland@salivary gland@Gland - Submandibular@Gland - Parotid@Gland - Sublingual@Sublingual Gland@Sublingual_glands
"	Salivary Gland	0.558599722	0.291028133	6	0.435631853	0.743																0	1	1559.5	2.121320344	2	1558	1561			0			9.3191	1	1317	0	1	1317	1317	88	0	1	88	88	1597	0	1	1597	1597	74	0	1	74	74
	SAT (Subcutaneous Fat)	911	51.42007205	23	812	961	2348.333333	371.7777114	6	1806	2973	0.21145	0.021131358	8	0.18	0.2416	32.70933333	12.85635337	12	19.832	63.248	0.506565952	0.019910497	12	0.307136066	0.979515021	2.5	9	7.958	0.2	35	15.915	0.1	0.035	33000	159.155	0.05	10000000	15.915	0.01	Fetus_SAT@Baby_SAT@SAT@Subcutis (Arms)@Subcutis (Hands)@Subcutis@Subcutaneous Adipose Tissue	Fat (Average Infiltrated)	0.077621273	0.093082005	91	0.023986634	0.215217391																0	1	1477	1.414213562	2	1476	1478			0			7	1	312.4444444	28.98754522	2	288	343	117.4444444	56.39395161	2	58	165	377	5.744562647	2	371	382	97.54545455	33.94514291	2	68	133
	Scalp	1109	37.52599099	10	1100	1125	3390.5	233.2973782	4	3150	3662	0.3721835	0.059053788	8	0.322	0.498	106.3813131	36.72902845	12	49	174.6060606	1.647516035	0.056881854	12	0.758857767	2.704105413	4	32	7.234	0	1100	32.481	0.2	0.0002	0	159.155	0.2	0	15.915	0.2	None	Skin	0.439431067	0.177756457	54	0.23	0.707125																0	1	1624	91.83136719	3	1537	1720			0			21.158	1																				
	Seminal vesicle	1045	0	1	1045	1045	3760	28.28427125	2	3740	3780	0.5115	0.026162951	2	0.493	0.53	394.12	0	1	394.12	394.12	6.10369435	0	1	6.10369435	6.10369435	4	55	7.958	0.1	5000	159.155	0.1	0.4	100000	159.155	0.2	40000000	15.915	0	SeminalVesicle@Glandula_vesiculosa@Vesicular Glands@Seminal_vesicle@seminal_vesicle	Testis	0.558599722	0.291028133	6	0.435631853	0.743																0	1	1559.5	2.121320344	2	1558	1561			0			9.3191	1	1317	0	1	1317	1317	88	0	1	88	88	1597	0	1	1597	1597	74	0	1	74	74
	Skin	1109	37.52599099	10	1100	1125	3390.5	233.2973782	4	3150	3662	0.3721835	0.059053788	8	0.322	0.498	106.3813131	36.72902845	12	49	174.6060606	1.647516035	0.056881854	12	0.758857767	2.704105413	4	32	7.234	0	1100	32.481	0.2	0.0002	0	159.155	0.2	0	15.915	0.2	"Ear_skin@Fetus_skin@Tail_skin@Baby_Skin@Ear, right@Ear, left@Skin (Ears)@Skin (Head)@Skin (Legs)@Skin (Tail)@Subcutis (Tail)@Subcutis (Head)@Subcutis (Legs)@Embryos@Ear_skin_right@Ear_skin_left@ear_skin_right@ear_skin_left@Epidermis_Dermis@Epidermis/Dermis@Scrotum@Skin (Dry)"	Skin (Dry)	0.148297101	0.042145684	7	0.056521739	0.25																0	1	1624	91.83136719	3	1537	1720			0			21.158	1			0					0					0					0		
	Skull	1908	166.0051634	27	1800	2100	1312.833333	294.7028447	6	826	1650	0.32	0.034641016	3	0.3	0.36	10	0	1	10	10	0.154868932	0	1	0.154868932	0.154868932	2.5	10	13.263	0.2	180	79.577	0.2	0.02	5000	159.155	0.2	100000	15.915	0	None	Bone (Cortical)	0.017856012	0.023802765	74	0.003246753	0.114																0	1	2770.35	0	1	2770.35	2770.35			0			54.553	1			0					0					0					0		
