																		
Tissue  		Hydrogen	Carbon	Nitrogen	Oxygen	Sodium	Magnesium	Silicon	Phosphor	Sulfur	Chlorine	Argon	Potassium	Calcium 	Scandium	Iron 	Zinc	Iodine
Commissura Anterior	Average	0.637920219	0.097978005	0.010826781	0.250606855	0.000527704			0.00078336	0.00037835	0.000513291		0.000465434					
 	Standard Deviation 	0	0	0	0	0			0	0	0		0					
 	Minimum	0.637920219	0.097978005	0.010826781	0.250606855	0.000527704			0.00078336	0.00037835	0.000513291		0.000465434					
 	Maximum	0.637920219	0.097978005	0.010826781	0.250606855	0.000527704			0.00078336	0.00037835	0.000513291		0.000465434					
Commissura Posterior	Average	0.637920219	0.097978005	0.010826781	0.250606855	0.000527704			0.00078336	0.00037835	0.000513291		0.000465434					
 	Standard Deviation 	0	0	0	0	0			0	0	0		0					
 	Minimum	0.637920219	0.097978005	0.010826781	0.250606855	0.000527704			0.00078336	0.00037835	0.000513291		0.000465434					
 	Maximum	0.637920219	0.097978005	0.010826781	0.250606855	0.000527704			0.00078336	0.00037835	0.000513291		0.000465434					
Connective Tissue	Average	0.604287228	0.11167405	0.02868178	0.251905083	0.001691091				0.001212468	0.0005483							
 	Standard Deviation 	0	0.1416159	0	0	0				0	0							
 	Minimum	0.604287228	0.11167405	0.02868178	0.251905083	0.001691091				0.001212468	0.0005483							
 	Maximum	0.604287228	0.11167405	0.02868178	0.251905083	0.001691091				0.001212468	0.0005483							
Diaphragm	Average	0.631286342	0.068516135	0.014553224	0.283624003	0.000248016	2.00E-05		0.00039649	0.000641266	0.000134039		0.000577485	1.00E-06		1.00E-06	1.00E-06	
 	Standard Deviation 	0.002903477	0.013365895	0.001530672	0.012530881	3.32E-05	1.41E-06		1.65E-05	0.000193103	1.77E-05		8.54E-05	0		0	0	
 	Minimum	0.626637212	0.056732	0.012488	0.266178457	0.000206	0.000049		0.000367	0.000475	0.000141		0.00048	0.000005		0.000005	0.000005	
 	Maximum	0.634223278	0.089034286	0.016072971	0.298104	0.00027261	0.000051		0.000404681	0.000976	0.000176776		0.000641178	0.000005		0.000005	0.000005	
