lambda,mu_a_water,mu_a_skull
7529871.613584943,84.59829805889828,25.379489417669483
7707057.187421055,84.60229017100251,25.38068705130075
7888412.118875314,84.54340362400922,25.36302108720276
8074034.517193117,84.43223382340827,25.32967014702248
8264024.80023067,84.2768425531566,25.28305276594698
8458485.748778999,84.08346822973509,25.22504046892053
8657522.562166125,83.8570135640433,25.15710406921299
8861242.915167756,83.60138711682234,25.0804161350467
9069757.016257163,83.31974686421636,24.995924059264905
9283177.667225566,83.01467674253772,24.90440302276131
9501620.324205589,82.68831652521858,24.80649495756557
9725203.160130708,82.34245866638064,24.70273759991419
9954047.128664227,81.97862140670716,24.593586422012148
10188276.029632771,81.59810458274275,24.479431374822823
10428016.57599937,81.20203267011671,24.360609801035007
10673398.462412627,80.79138829184507,24.23741648755352
10924554.435368676,80.36703852610489,24.110111557831466
11181620.365024447,79.9297557204073,23.97892671612219
11444735.318700442,79.48023407440697,23.844070222322088
11714041.636113347,79.01910293463463,23.705730880390387
11989685.006378818,78.54693751310481,23.564081253931445
12271814.546826351,78.06426757218169,23.41928027165451
12560582.883668495,77.57158449256153,23.271475347768455
12856146.23456864,77.06934704742632,23.12080411422789
13158664.493151369,76.55798613511209,22.967395840533626
13468301.315501658,76.03790866886965,22.811372600660892
13785224.208699392,75.50950078109624,22.65285023432887
14109604.621437293,74.97313046759652,22.49193914027895
14441618.036770944,74.42914977268089,22.328744931804263
14781444.067051552,73.87789659651736,22.163368978955205
15129266.551092584,73.31969619086226,21.995908857258673
15485273.653622556,72.75486239715553,21.826458719146657
15849657.96707834,72.18369867127093,21.655109601381277
16222616.615793748,71.60649893142056,21.481949679426165
16604351.362639507,71.02354825941913,21.307064477825737
16995068.718172878,70.43512348039492,21.13053704411848
17394980.05235567,69.84149364185816,20.952448092557447
17804301.708900787,69.24292040960492,20.772876122881478
18223255.122309774,68.63965839510608,20.591897518531823
18652066.9376644,68.03195542668509,20.409586628005528
19090969.13323669,67.42005277483855,20.226015832451566
19540199.145984497,66.8041853404236,20.04125560212708
20000000.000000004,66.1845818130704,19.855374543921116
