,lambda,mu_a_water,mu_a_skull
266,462025.9400166317,152.5152014126132,45.754560423783964
267,472897.8825290815,150.7488340720467,45.224650221614006
268,484025.6529588768,147.71140711294154,44.31342213388246
269,495415.27119834186,142.16687958435276,42.650063875305825
270,507072.89879402233,131.35268616101422,39.40580584830426
271,519004.84227994754,109.40143366087968,32.8204300982639
272,531217.5565893368,70.37022621664188,21.111067864992563
273,543717.6485465881,38.153488513942776,11.446046554182832
274,556511.8804414253,50.24408739114686,15.073226217344057
275,569607.1736871611,78.8041571473884,23.641247144216518
276,583010.6125650352,99.99397815579351,29.998193446738053
277,596729.4480566682,113.0939666772304,33.92819000316912
278,610771.1017666826,121.18096848878848,36.35429054663654
279,625143.1699376472,126.3505031431403,37.905150942942086
280,639853.4275594769,129.77199913891846,38.931599741675534
281,654909.8325755465,132.0953870649103,39.628616119473094
282,670320.5301877683,133.69551519224026,40.108654557672075
283,686093.8572629839,134.79838685382433,40.4395160561473
284,702238.346843027,135.54617819628675,40.663853458886024
285,718762.7327609252,136.03181770870825,40.80954531261247
286,735675.9543657269,136.31813024510132,40.89543907353039
287,752987.1613584943,136.44886783693272,40.93466035107981
288,770705.7187421056,136.4553067274234,40.93659201822702
289,788841.2118875313,136.3603284258213,40.90809852774639
290,807403.4517193116,136.1810222958198,40.854306688745936
291,826402.480023067,135.93039121476872,40.77911736443061
292,845848.5748779,135.61849714473402,40.685549143420204
293,865752.2562166124,135.2532476839408,40.575974305182235
294,886124.2915167756,134.84094696261667,40.452284088785
295,906975.7016257164,134.38668849067153,40.31600654720146
296,928317.7667225566,133.8946399073189,40.168391972195664
297,950162.0324205589,133.36825246002996,40.010475738008985
298,972520.3160130708,132.81041720383973,39.84312516115192
299,995404.712866423,132.22358291404382,39.66707487421314
300,1018827.6029632773,131.60984610119797,39.48295383035939
301,1042801.657599937,130.9710204356721,39.29130613070163
302,1067339.8462412627,130.3086907932985,39.09260723798955
303,1092455.4435368676,129.62425568726596,38.88727670617978
304,1118162.036502445,128.9189608393666,38.67568825180998
305,1144473.531870044,128.19392592646284,38.45817777793885
306,1171404.1636113347,127.45016602360424,38.23504980708127
307,1198968.500637882,126.68860889210454,38.00658266763136
308,1227181.4546826354,125.91010898738983,37.77303269621695
309,1256058.2883668495,125.1154588589702,37.53463765769106
310,1285614.623456864,124.30539846359083,37.291619539077246
311,1315866.4493151368,123.4806227985679,37.044186839570365
312,1346830.1315501658,122.6417881755962,36.79253645267886
313,1378522.4208699393,121.7895173888649,36.53685521665947
314,1410960.4621437292,120.92440397999438,36.27732119399831
315,1444161.8036770944,120.04701576238853,36.01410472871655
316,1478144.4067051553,119.15789773631832,35.747369320895494
317,1512926.6551092584,118.25757450139074,35.477272350417216
318,1548527.3653622558,117.34655225347666,35.203965676043
319,1584965.796707834,116.42532043753376,34.927596131260124
